F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.010699689763583698,0.034573995112972475,0,10017,1
1,3,0.019430439693511617,0.013818892826267354,0,9960,1
2,4,0.029384854678832603,0.012773440629627649,0,9924,1
3,5,0.011216221472800502,0.014217382910500483,0,10035,1
4,6,0.018206893508844746,0.04371303358656922,0,10094,1
5,6,0.022842683141207597,0.02726974204324841,0,9974,1
2,5,0.01065948447476041,0.04641966078571277,0,9959,1
3,4,0.020573597340401453,0.04822215997111384,0,10058,1
5,7,0.03218369499340507,0.01889145501112279,0,9970,1
6,7,0.028432789185953378,0.03714402474863711,0,10003,1
3,8,0.014452148427016538,0.018873832752158946,0,10076,1
6,8,0.032612916449405595,0.02088372841814109,0,10002,1
