BUS,P_MIN,P_MAX,Q_MIN,Q_MAX,P_COSTE0,P_COSTE1,P_COSTE2
1,-20,150,-50,91,6,22,1
2,-20,151,-50,91,33,61,1
3,-20,151,-50,90,25,76,3
4,-20,151,-50,91,11,78,4
5,-20,151,-50,90,54,23,2
6,-20,149,-50,90,9,76,4
7,-20,151,-50,90,27,72,4
8,-20,151,-50,90,52,60,0
9,-20,151,-50,90,52,23,3
10,-20,149,-50,90,39,48,3
11,-20,151,-50,91,49,22,0
12,-20,150,-50,91,2,28,2
13,-20,150,-50,91,23,28,1
14,-20,150,-50,90,4,8,4
15,-20,151,-50,90,3,86,3
16,-20,150,-50,90,30,54,1
17,-20,150,-50,91,26,61,3
18,-20,150,-50,90,20,22,0
19,-20,149,-50,90,18,41,2
20,-20,150,-50,90,25,76,2
