F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.04520739078981738,0.035332313887106226,0,10084,1
1,3,0.04845580132549356,0.04896134022149995,0,10053,1
2,4,0.048715987843368,0.030851753846153525,0,9926,1
3,5,0.020381143208390507,0.035880416639617774,0,9947,1
4,6,0.04195328139599766,0.03945020402120224,0,10018,1
5,6,0.030527123148976452,0.042292532034440784,0,10002,1
2,5,0.044805217916527564,0.0444595691758537,0,10072,1
3,4,0.039809554841589635,0.020403693815183477,0,10059,1
5,7,0.046991739380759213,0.03422874075881683,0,9932,1
6,7,0.010930872464496233,0.025164812533056753,0,10041,1
3,8,0.021903984352486944,0.023668609233261226,0,9998,1
6,8,0.012422932728931132,0.027688801077334145,0,10029,1
7,9,0.050023186404237904,0.03096537003316978,0,10053,1
6,9,0.031203508910469788,0.03863777891698968,0,9907,1
9,10,0.033016657078094105,0.05514096550290933,0,10035,1
9,11,0.03569985603658936,0.033403388934720224,0,9937,1
8,11,0.04758254361280302,0.028377176049592223,0,10023,1
