BUS,PD,QD,Vmax,Vmin,basekV,zone
1,22.89446469180737,22.249946345937417,1.0660181797048722,0.9256547938376706,1,1
2,20.518846160111224,13.730711631753154,1.0625960024573655,0.9261991578698956,1,1
3,54.29238858990206,13.514592303829101,1.0740483716662552,0.9426596396517389,1,1
4,25.5176534044855,17.72349515197301,1.0846799619826835,0.9379047068895553,1,1
5,28.397007511047725,1.325620040692184,1.088850817692542,0.9394961000277786,1,1
6,63.579112273753125,18.71616390681438,1.087334679689457,0.9323826573096841,1,1
7,68.97695213868705,23.890896081013793,1.053469189578102,0.9436672700626334,1,1
8,15.168016871223008,16.811216607184402,1.0718610275567457,0.9355827347278782,1,1
9,91.56233259941878,28.00986774349316,1.082421591170975,0.9481749863428119,1,1
10,75.46312752243067,10.690119001541564,1.0833902106768356,0.9482572399208379,1,1
11,47.506307001494434,19.639248446322863,1.0875373948050464,0.9444891727954258,1,1
