F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.01913267711366514,0.05063935804528747,0,10047,1
1,3,0.02456842736882307,0.04435606808052257,0,9955,1
2,4,0.04849914865400329,0.04755810540403798,0,10007,1
3,5,0.022337080640339686,0.044263129142064345,0,10047,1
4,6,0.02068548679215065,0.04297961514611456,0,9910,1
5,6,0.050390161525236114,0.037267752820776746,0,10000,1
2,5,0.04602885884440322,0.01230812934038774,0,9988,1
3,4,0.027042341494389048,0.03051573038265254,0,10022,1
5,7,0.01577518404622286,0.043211683943149774,0,9927,1
6,7,0.04720610483186154,0.044911403260980844,0,9973,1
3,8,0.03458204975005911,0.013816685971293707,0,10098,1
6,8,0.039210431586145046,0.013872075308563974,0,9969,1
7,9,0.018724420338067472,0.036250964188796975,0,10013,1
6,9,0.028368454375895705,0.047981309013005256,0,10017,1
9,10,0.04064301266952997,0.030736880274845974,0,9925,1
9,11,0.0122433068053703,0.02581366404432176,0,9951,1
8,11,0.01033501392966183,0.032398538027710776,0,10017,1
