F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.03066034774898918,0.023031693968165123,0,10043,1
1,3,0.02294593218130695,0.02410384331795693,0,10062,1
2,4,0.032521097867019,0.01146173878350752,0,9999,1
3,5,0.029686464143897612,0.021773243396266566,0,10028,1
4,6,0.017608470009558265,0.04393864156967114,0,10018,1
5,6,0.019231792487955993,0.015087451348500334,0,9932,1
2,5,0.015079102019842987,0.012629912109074567,0,9909,1
3,4,0.010215011017335495,0.04836897734321137,0,10054,1
5,7,0.030152121322648592,0.03175997854670307,0,9938,1
6,7,0.011207483594989876,0.028792072890300648,0,9989,1
3,8,0.017404149052336296,0.025775107728682307,0,10016,1
6,8,0.013886033108744486,0.01717275439645824,0,10092,1
