F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.01626326426353849,0.030260018258848873,0,9969,1
1,3,0.037650326434675446,0.04817887930163021,0,10046,1
2,4,0.028289590051730727,0.03727942727682868,0,9956,1
3,5,0.01618373438419366,0.03783834472890853,0,9910,1
4,6,0.027084110005569033,0.01664733398745761,0,10058,1
5,6,0.04166057256391383,0.017622845566358986,0,9985,1
2,5,0.024657182521769946,0.04106071893749328,0,10054,1
3,4,0.03157411562279624,0.022473385920954936,0,10050,1
5,7,0.022369207146138555,0.025295591511121353,0,9949,1
6,7,0.04872946669714796,0.022929888998542376,0,10012,1
3,8,0.024136923639589046,0.029105926314875685,0,10018,1
6,8,0.019389527208218328,0.04800843328271087,0,10032,1
7,9,0.04466942433717007,0.03345240579757881,0,9911,1
6,9,0.022212469891443667,0.037952236497336825,0,9934,1
