F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.01046436826180715,0.03252281850743426,0,9981,1
1,3,0.010692600445534349,0.029174903597803503,0,9974,1
2,4,0.013802674512623857,0.041525599383194424,0,9995,1
3,5,0.032505596697622284,0.045406745281034104,0,10062,1
4,6,0.03155647149945051,0.03408786866388551,0,10011,1
5,6,0.010171465171757826,0.01919536658757685,0,10089,1
2,5,0.027768890256529337,0.016737819900523206,0,9903,1
3,4,0.030892413262140782,0.04516740807745101,0,9977,1
5,7,0.030653895794484402,0.02911797256170221,0,9968,1
6,7,0.032471214105707004,0.026145100736677897,0,10067,1
3,8,0.029712239121379526,0.011484460523886868,0,9941,1
6,8,0.028403220924715318,0.034790840494898875,0,10070,1
