F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.017115545204505877,0.011992476745707095,0,9958,1
1,3,0.022992484854001086,0.011131432992678875,0,10036,1
2,4,0.021170615266728844,0.0196480145833298,0,9954,1
3,5,0.019685342278893674,0.0486617618574856,0,10003,1
4,6,0.014460686992941185,0.03146512783813513,0,10025,1
5,6,0.018171530583474295,0.010253811767639828,0,9931,1
2,5,0.022995597049489634,0.028107337124583062,0,9995,1
3,4,0.013022507441003134,0.04022804391254546,0,9957,1
5,7,0.032885382136135885,0.017500567688270373,0,10085,1
6,7,0.028202027491356002,0.03605427089943122,0,10082,1
3,8,0.030923101486229218,0.021267517700536472,0,10008,1
6,8,0.023346847682841794,0.044083831139445785,0,10031,1
