F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.011079478686320688,0.019023083171442905,0,10023,1
1,3,0.03495206735672524,0.02490998263889738,0,9914,1
2,4,0.03399599804161427,0.03806947626421012,0,9975,1
3,5,0.023619750174103723,0.01596654507000948,0,10061,1
4,6,0.03220194194231235,0.030169569770107027,0,10065,1
5,6,0.046604055830316564,0.0421885080135781,0,9950,1
2,5,0.02020652542651602,0.0244521008989946,0,9917,1
3,4,0.012882839800385138,0.02976619931188531,0,10046,1
5,7,0.03141547028172031,0.02390225837574582,0,9934,1
6,7,0.049662303573221094,0.02853469224607095,0,10058,1
3,8,0.023601827181299974,0.027973443864204486,0,9990,1
6,8,0.016667108413806284,0.026119021421446946,0,9971,1
7,9,0.036683668227765656,0.04945783195122564,0,9929,1
6,9,0.048717732484058716,0.014512785641455155,0,10044,1
9,10,0.024820498714070976,0.030838813243933304,0,10072,1
