F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.012874590415685477,0.03593060462560205,0,10086,1
1,3,0.02430805790884849,0.029313103110351332,0,10026,1
2,4,0.02197693147702882,0.04011329081584483,0,10029,1
3,5,0.014640301945079613,0.038440879088326184,0,9953,1
4,6,0.017013743629251024,0.0408473856725372,0,10084,1
5,6,0.018574653814540248,0.0472035203381343,0,9931,1
2,5,0.013283096989265865,0.027714054052732487,0,9905,1
3,4,0.023583965206258384,0.031305197163907596,0,9940,1
5,7,0.01986685221997338,0.04248340156995886,0,10073,1
6,7,0.01577677306818423,0.029560808756142545,0,9915,1
