F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.021402875224783145,0.04380340742248018,0,10014,1
1,3,0.012965076266071613,0.046989663176447205,0,9989,1
2,4,0.017987145790365963,0.04100360421707079,0,9991,1
3,5,0.023765563581730965,0.049731141825137534,0,10059,1
4,6,0.010084759809444179,0.049064501699118246,0,10058,1
5,6,0.017934428584129025,0.03471482326845446,0,10064,1
2,5,0.009959880038771554,0.03252162219608088,0,9950,1
3,4,0.010874646796149209,0.03458485575287091,0,10003,1
5,7,0.010052667201112128,0.02738185001977825,0,10053,1
6,7,0.01775633574782349,0.02689683074999876,0,9910,1
