BUS,PD,QD,Vmax,Vmin,basekV,zone
1,15.016095042847011,11.061694075977528,1.078096052159476,0.9126050917983065,1,1
2,35.683212293404154,25.25699989458395,1.0665296614401263,0.9426446500784903,1,1
3,25.260588925582802,11.461170028509109,1.081299038151774,0.9341541700291075,1,1
4,33.94052836289418,0.163881422671738,1.0633365380452064,0.9176674287371978,1,1
5,73.74391780347048,26.091173438858313,1.0719572533580102,0.9245930252574339,1,1
6,11.525441500088062,4.9541237422301965,1.056786801564639,0.9359029286827456,1,1
7,49.183259812983266,22.138611838217585,1.0621264393208467,0.9109275221605635,1,1
8,4.748261165777562,2.62887124721841,1.0542436265881758,0.910511334054178,1,1
9,3.0553196436659134,7.9215409228094265,1.0590069795072348,0.9279745495928766,1,1
10,93.3891057341062,10.768985069092178,1.0568291847642417,0.945116868658059,1,1
