BUS,P_MIN,P_MAX,Q_MIN,Q_MAX,P_COSTE0,P_COSTE1,P_COSTE2
1,-20,150,-50,91,49,65,3
2,-20,150,-50,90,35,13,0
3,-20,151,-50,91,24,21,4
4,-20,150,-50,90,52,16,0
5,-20,149,-50,90,45,8,1
6,-20,151,-50,91,2,82,2
7,-20,151,-50,90,9,53,1
8,-20,151,-50,90,51,43,0
9,-20,151,-50,90,40,83,1
10,-20,149,-50,90,14,20,2
11,-20,150,-50,91,3,65,3
12,-20,151,-50,90,29,55,1
13,-20,150,-50,90,39,81,1
14,-20,150,-50,90,22,61,0
15,-20,151,-50,90,32,77,4
16,-20,151,-50,91,49,81,1
17,-20,151,-50,90,10,59,4
18,-20,149,-50,91,51,69,3
19,-20,150,-50,90,6,24,4
20,-20,151,-50,90,33,62,2
