BUS,PD,QD,Vmax,Vmin,basekV,zone
1,46.57271023399439,19.775940117228796,1.0886843010196456,0.9486589396023288,1,1
2,17.917026449373076,13.249311834438966,1.0888495728247585,0.9119418113773539,1,1
3,8.86638730199896,13.86258453542996,1.0667103056170704,0.935953673150291,1,1
4,54.23677100620875,22.439225387022095,1.0576984090740176,0.9299980455594221,1,1
5,19.309100338760075,18.24519440687962,1.054882318676387,0.9176944590455482,1,1
6,65.13984395415987,14.994532462020201,1.072204124145126,0.9374716086552228,1,1
7,78.08988259062407,4.22941687428483,1.0581718486838432,0.9122872202888253,1,1
8,88.83191906415942,2.222267250618713,1.0593793759154067,0.9401440666094202,1,1
9,63.55528609140674,22.044488458565105,1.0575918788975984,0.9423074094639895,1,1
10,12.925165733346244,7.747260287245954,1.0549043507845146,0.9200298294106709,1,1
11,6.522999182538227,17.135258442929672,1.050926254388011,0.9270577624761327,1,1
12,52.42860854939611,14.412856760035849,1.0721662628762385,0.9177238699819138,1,1
13,87.95390306733461,0.62832220191508,1.083780665904321,0.9102564489903239,1,1
14,78.2276989929176,15.915223581679616,1.0678356022383317,0.9450896364585442,1,1
15,74.05757914800374,3.032312321080543,1.0525468845211443,0.9428294183185532,1,1
16,63.019094220934306,16.4922364778594,1.0740385852366452,0.9382168187218766,1,1
17,33.24441342274283,25.317595172546902,1.0640545662640724,0.9314360783289461,1,1
18,34.86758734870852,25.86487505475924,1.0677241054821807,0.9368062720727944,1,1
19,15.410657950625954,21.13019825968757,1.084950245994408,0.9100217154538817,1,1
20,59.397884229777254,10.155956806049435,1.0593170858760699,0.919559131602244,1,1
