BUS,P_MIN,P_MAX,Q_MIN,Q_MAX,P_COSTE0,P_COSTE1,P_COSTE2
1,-20,149,-50,90,48,20,3
2,-20,150,-50,90,3,80,2
3,-20,151,-50,90,48,11,4
4,-20,151,-50,90,45,18,3
5,-20,150,-50,90,19,46,3
6,-20,150,-50,90,36,90,0
7,-20,151,-50,90,18,23,4
8,-20,151,-50,90,9,73,1
9,-20,150,-50,90,38,20,1
10,-20,151,-50,91,20,12,5
11,-20,150,-50,90,14,84,0
12,-20,151,-50,90,22,87,1
13,-20,151,-50,91,8,38,2
14,-20,151,-50,90,19,90,3
15,-20,150,-50,90,31,28,2
16,-20,151,-50,90,9,84,4
17,-20,151,-50,90,25,23,4
18,-20,149,-50,90,43,21,3
19,-20,150,-50,90,54,82,4
20,-20,151,-50,90,51,62,4
