F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.04014951944506094,0.04048247168959509,0,10062,1
1,3,0.036141471761173494,0.02321511258363644,0,10063,1
2,4,0.019168441130425914,0.04817681329851234,0,9941,1
3,5,0.02172853640358724,0.028290942793649236,0,9902,1
4,6,0.03527885865824325,0.031065370679667158,0,10051,1
5,6,0.023243603019148185,0.01678254331261189,0,10066,1
2,5,0.010480969454098274,0.02155922976809048,0,10068,1
3,4,0.04330893868931289,0.011878646833297661,0,9942,1
5,7,0.04842886849321226,0.04782676455736723,0,10016,1
6,7,0.046916536568904856,0.014067580495646399,0,9994,1
3,8,0.03505955391300373,0.036524585568580153,0,9900,1
6,8,0.017147766768306087,0.02754829202206601,0,10096,1
7,9,0.011931701446164624,0.02403826068716779,0,10006,1
6,9,0.020605456659263284,0.038005064870141804,0,9920,1
9,10,0.017766237314197922,0.027886085209243495,0,9921,1
