BUS,PD,QD,Vmax,Vmin,basekV,zone
1,12.670507560048813,7.623458261437586,1.0566935511193507,0.9384199089564237,1,1
2,1.0047932561571498,13.50733151526104,1.0521714316567254,0.9214042345127376,1,1
3,82.66644131027563,22.744472092010668,1.0661598953032223,0.9188130906983755,1,1
4,18.12484689207883,19.091017492204514,1.0699623709000956,0.9373046354815734,1,1
5,36.314052781159965,20.261507566782736,1.0781755920682394,0.9292990487947247,1,1
6,78.28441756558897,6.236535952485,1.0752708987960133,0.945841250701254,1,1
7,94.88327691165884,6.875654983817295,1.0524226296649173,0.9341169508100126,1,1
8,71.08724643411477,0.39387470347071013,1.0538864332820648,0.9127648639463928,1,1
9,15.712104265252975,24.93375614559809,1.081563461165364,0.9223028272930803,1,1
10,62.1312846259994,22.35685358264834,1.0513058727882225,0.9438824288067644,1,1
