F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.014654204450341685,0.04500210922060167,0,9906,1
1,3,0.03194135624760916,0.03905290984146266,0,10089,1
2,4,0.030928275206914532,0.024922007739306907,0,9953,1
3,5,0.011656863937109883,0.012722510262066635,0,10098,1
4,6,0.013125720052167125,0.013273515598782497,0,10042,1
5,6,0.03180594042212037,0.02233222389586055,0,9964,1
2,5,0.02725512642358202,0.0414839685789617,0,10090,1
3,4,0.01770251268257923,0.04226356452044172,0,10040,1
5,7,0.02219622918896689,0.017381173366683475,0,10010,1
6,7,0.020494408764804933,0.01340554460687871,0,10001,1
3,8,0.03201096994289539,0.046825409834397376,0,10064,1
6,8,0.02814109916354953,0.03812718534945854,0,9945,1
