F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.044065432075274864,0.04176297625314546,0,9925,1
1,3,0.04287804325934667,0.027255206762578463,0,9947,1
2,4,0.04359632837661635,0.05463398137576378,0,9902,1
3,5,0.03787630142779045,0.03784877661550095,0,9968,1
4,6,0.03677289998353497,0.032595126996030975,0,10083,1
5,6,0.0173613577787762,0.028542896339879956,0,9980,1
2,5,0.044995371888456474,0.03197789004861285,0,9984,1
3,4,0.047029078265728254,0.05417250253409028,0,10097,1
5,7,0.015138471383372865,0.02384755751327044,0,9917,1
6,7,0.045919211401863995,0.039010119837321666,0,10013,1
3,8,0.04953044394163098,0.03847218995685308,0,9958,1
6,8,0.011038083578523627,0.04984164679692704,0,10053,1
7,9,0.028974941714621352,0.01399310144194893,0,9956,1
6,9,0.02320760019657015,0.035419312922783636,0,9910,1
9,10,0.0296399916645671,0.01131095166549446,0,10027,1
9,11,0.04880243299024579,0.028487531799580128,0,9999,1
8,11,0.026064173839373053,0.04021265284734717,0,10029,1
