F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.03235839040367984,0.04781206695650128,0,9988,1
1,3,0.016352123955216364,0.039334837738570605,0,9980,1
2,4,0.011946579785321348,0.011127500864112107,0,10060,1
3,5,0.019638407037462273,0.014899804072048729,0,10005,1
4,6,0.027586068480572642,0.043204743129399044,0,9931,1
5,6,0.010551038543035409,0.04511874241816971,0,10000,1
2,5,0.026812915024003882,0.04138514250105719,0,9918,1
3,4,0.030703405621825337,0.045086169305313645,0,9901,1
5,7,0.0315418683015707,0.01247383070528208,0,9952,1
6,7,0.02093838441691035,0.01149394138906922,0,10080,1
3,8,0.012613758264365066,0.04004175291965903,0,10071,1
6,8,0.01189776154352597,0.014299417726601576,0,10039,1
