BUS,PD,QD,Vmax,Vmin,basekV,zone
1,93.45082571335966,24.372322836171588,1.0800343278218,0.9137301167636377,1,1
2,3.5972642440573295,1.998236841421901,1.0733979253014976,0.9100432297268336,1,1
3,89.47656871871847,18.715606889219963,1.0695651184154944,0.9275887199408104,1,1
4,20.64060556266001,14.852094503584663,1.0651514080189344,0.9439161814401674,1,1
5,42.2729687223501,8.945080273675917,1.0848038380011256,0.947158175503386,1,1
6,63.50541341059901,8.304916043524782,1.0601457865735773,0.9361920045688598,1,1
7,21.71381372811846,22.294910056874883,1.0572831807355851,0.9193155328197927,1,1
8,17.73543654626782,11.013879511748593,1.077051748932696,0.9319225583529184,1,1
9,23.696248772169763,20.582069200657706,1.0560768393690247,0.9162542282620125,1,1
10,4.90064935346158,24.967767740614555,1.0605850968303898,0.9148905158809815,1,1
