F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.0452323201834578,0.0186409245948172,0,10089,1
1,3,0.033416369482509645,0.012781618220266902,0,10083,1
2,4,0.046658383068275175,0.04913869307293892,0,9978,1
3,5,0.018842356720635334,0.02541285801714903,0,9983,1
4,6,0.017413049559813768,0.047580284601138154,0,10030,1
5,6,0.03513994729443528,0.03649728080710107,0,10099,1
2,5,0.035548845648582024,0.04924690733971885,0,9912,1
3,4,0.016438988642289678,0.013577681693468693,0,10028,1
5,7,0.02146672637956551,0.04955034843698678,0,9975,1
6,7,0.038838283500063485,0.031066448151272637,0,10020,1
3,8,0.022893675790954325,0.025754350002651208,0,10067,1
6,8,0.016405970169514512,0.026495424180734924,0,10093,1
7,9,0.04482308807650092,0.015846232480086538,0,9924,1
6,9,0.042567914679268536,0.021784748886999803,0,9996,1
9,10,0.036263435290925794,0.04541469580745613,0,10078,1
