F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.024566647042957968,0.04578296996263981,0,10072,1
1,3,0.015708424158292055,0.04195076718607394,0,10024,1
2,4,0.03693436120729876,0.022618373977294066,0,9933,1
3,5,0.03373205770587346,0.051921349340495235,0,10069,1
4,6,0.04939846843149312,0.0477750961747656,0,10016,1
5,6,0.0461567454851461,0.0174621015457651,0,9991,1
2,5,0.02602087980996961,0.04308716837897537,0,10052,1
3,4,0.017090901898936577,0.049419044698534274,0,9906,1
5,7,0.03426806920373266,0.01978060823370692,0,9958,1
6,7,0.042280464212866076,0.04708369600705178,0,10077,1
3,8,0.0454237738247914,0.017095169278646807,0,9903,1
6,8,0.029166545723036015,0.03212626139654109,0,10100,1
7,9,0.01174467107126474,0.0479868140095251,0,10086,1
6,9,0.034560313069164995,0.021979939291036414,0,9926,1
9,10,0.012421955452557556,0.047107515891352605,0,10091,1
9,11,0.029056202884943372,0.032840503650819725,0,9932,1
8,11,0.041116849982497566,0.046365269282704985,0,10063,1
