F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.03311698187850042,0.038823661889493655,0,10094,1
1,3,0.019760511903899096,0.04067750235840353,0,9976,1
2,4,0.01951908669371044,0.031735574251588766,0,10026,1
3,5,0.0374791220516317,0.010921282079010775,0,9989,1
4,6,0.04526538280114637,0.02882025832423748,0,10025,1
5,6,0.026773839060353397,0.013512351799860272,0,10077,1
2,5,0.029610658134114357,0.015103845847807286,0,10053,1
3,4,0.024126397321082772,0.040957396870410834,0,10005,1
5,7,0.013981156039481954,0.020102162952289955,0,10040,1
6,7,0.044847219879757164,0.029184423974790333,0,10087,1
3,8,0.0202860528849537,0.012915892311539626,0,9929,1
6,8,0.034064244167401496,0.01333100085180644,0,9920,1
7,9,0.015415198970636923,0.02889365503604071,0,10029,1
6,9,0.049152957218835794,0.02930122114045762,0,10028,1
