BUS,PD,QD,Vmax,Vmin,basekV,zone
1,38.72818625020484,23.392722934129893,1.0876357882082313,0.9465631268955229,1,1
2,19.442795702095296,8.379348016996733,1.065488295509618,0.9481026158476924,1,1
3,1.084672115734774,12.489764544757474,1.0776970656276492,0.9284345430066039,1,1
4,92.38926529567803,23.16253052801137,1.0673627267137202,0.9481377792139222,1,1
5,78.66172980772866,0.18843754166343435,1.0743658477659166,0.9126255500598867,1,1
6,87.32515475296012,0.1786900889060863,1.0669247335813736,0.918469660088368,1,1
7,14.978438996285387,9.917061747623434,1.0816612328624582,0.9335253604434894,1,1
8,3.766034541214036,3.010431500832744,1.0675154754522345,0.916597709425227,1,1
9,77.91167868264844,6.277642680950713,1.0560638950356485,0.9227193460001802,1,1
10,50.44915015148215,27.546455043801725,1.078281217916356,0.9405349737423027,1,1
11,3.438755770231436,25.673958708151773,1.0515534305957015,0.937597269014301,1,1
