BUS,PD,QD,Vmax,Vmin,basekV,zone
1,78.7588431519124,21.956291350069787,1.0778895592264086,0.9259959493077129,1,1
2,31.28928632131385,3.4998284112260034,1.0825815524096867,0.9442789327948939,1,1
3,76.2473749395445,1.7012264286560852,1.0875027163114699,0.9402731293219567,1,1
4,37.47983267992521,15.179806545400039,1.0873952104210163,0.9208013119811885,1,1
5,90.99228451311187,12.098904320051185,1.0693661809524704,0.9202506238952906,1,1
6,32.70953772283839,24.754176682230018,1.086078943595128,0.9446892436980869,1,1
7,26.19782785765412,4.2740928414197406,1.0786434908033031,0.9155632166619433,1,1
8,51.73652156162187,19.585945618492094,1.0678089768731205,0.9363744628455226,1,1
9,19.245304714843815,12.471042584253016,1.0884627436516434,0.9383240576595108,1,1
10,65.17079963030926,25.57198534753282,1.050567536974313,0.9120191444718408,1,1
