F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.036712666241391814,0.025457559331929308,0,9926,1
1,3,0.03902903198239848,0.021245976499276162,0,9960,1
2,4,0.01954088591668366,0.024951898878022974,0,9931,1
3,5,0.02420642121510521,0.02793245436277715,0,9984,1
4,6,0.03555117003841792,0.02438132420668978,0,9949,1
5,6,0.04960819580230648,0.03334343167886613,0,9978,1
2,5,0.03934425324746547,0.043781505636866544,0,10075,1
3,4,0.038549239317832065,0.026496593433634176,0,10039,1
5,7,0.02872682132312604,0.039901456263497594,0,9980,1
6,7,0.04690377929140641,0.036883200445654594,0,9969,1
3,8,0.04875739660876838,0.04979214897999918,0,10098,1
6,8,0.016994413001618847,0.05022160521054889,0,9968,1
7,9,0.01640450042340423,0.037437427220957276,0,10009,1
6,9,0.03823625854496208,0.049329898586330495,0,9912,1
9,10,0.01662736568462878,0.012671932999781668,0,10079,1
