BUS,P_MIN,P_MAX,Q_MIN,Q_MAX,P_COSTE0,P_COSTE1,P_COSTE2
1,-20,151,-50,90,23,69,4
2,-20,151,-50,90,47,68,3
3,-20,149,-50,90,16,18,4
4,-20,150,-50,91,51,45,4
5,-20,151,-50,90,16,11,2
6,-20,151,-50,90,18,50,4
7,-20,150,-50,90,7,60,1
8,-20,151,-50,90,21,9,5
9,-20,151,-50,90,13,54,4
10,-20,151,-50,90,18,8,3
11,-20,149,-50,91,5,12,2
12,-20,151,-50,90,21,64,1
13,-20,149,-50,90,15,45,4
14,-20,149,-50,90,1,55,2
15,-20,151,-50,91,14,49,5
16,-20,150,-50,91,34,49,3
17,-20,151,-50,90,23,51,4
18,-20,149,-50,90,12,5,2
19,-20,149,-50,90,48,25,1
20,-20,151,-50,90,21,55,1
