F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.017061215700968625,0.047129106530949656,0,10010,1
1,3,0.02520622759861513,0.040185346432347106,0,10013,1
2,4,0.021648485372374036,0.03266038948070128,0,9905,1
3,5,0.010685519825858804,0.04792567803661906,0,10020,1
4,6,0.022589559300722102,0.03221613788706626,0,9903,1
5,6,0.015446985229397383,0.0495353968888972,0,10028,1
2,5,0.01460720215267388,0.042390687780911096,0,10091,1
3,4,0.011655800283517653,0.028903696223365246,0,10084,1
5,7,0.01468974433648591,0.04950995995310853,0,9996,1
6,7,0.014508223981955531,0.050486007349071424,0,9962,1
