BUS,PD,QD,Vmax,Vmin,basekV,zone
1,12.22348869834119,19.285243385762026,1.0542229729331312,0.9304198928783584,1,1
2,16.97280809469664,21.429147857793982,1.0700726366196658,0.9103977278092095,1,1
3,48.54026124048137,24.8801285055745,1.0757263945411362,0.9101790249623097,1,1
4,22.370270512366417,12.662148664700304,1.0757373823679317,0.9317043507614354,1,1
5,42.79302703133772,1.3506610497011502,1.084327150359544,0.9133912653326332,1,1
6,10.618584172061986,5.712343402561342,1.066394426841524,0.9412167313987092,1,1
7,83.46404157256079,23.24645959895803,1.06777434958855,0.9358483231161451,1,1
8,51.69242411928492,28.247945065193484,1.0860794555385134,0.9210930664666436,1,1
9,39.66634597490283,5.763449953266197,1.0573061716414835,0.9297288792293416,1,1
10,19.937336099326746,19.257221194726274,1.06276229930952,0.9267375989866535,1,1
11,22.53771214791112,11.42521628985153,1.071349927280428,0.9365990753036019,1,1
12,91.90397718029433,11.303005084874213,1.0725641101995063,0.9209914580801873,1,1
13,34.29498713768499,11.877757557113865,1.079819207079648,0.9284881897643507,1,1
14,60.58107213078319,3.775865823707979,1.0638519096640628,0.9196867332702636,1,1
15,89.30041909908998,24.274823989209256,1.0590325729498962,0.9372559627988221,1,1
16,61.765603586622795,10.00358737838115,1.0619797052908975,0.9112740346316817,1,1
17,65.69165336745756,27.460620600220125,1.0659532180654623,0.9254337112752395,1,1
18,41.370887005371614,16.274045314126067,1.0767409557467293,0.9225298644761837,1,1
19,65.10993171166486,12.614043628893233,1.0878654705013941,0.9119823163951886,1,1
20,46.191355823253204,2.8830882199874788,1.0789654724857176,0.9397270769574577,1,1
