F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.03932009359829553,0.012209983537385442,0,10044,1
1,3,0.03782913784626353,0.016235329532547593,0,9907,1
2,4,0.014532328111200754,0.019952991084739524,0,10034,1
3,5,0.04784908722678895,0.051103843982264634,0,9916,1
4,6,0.04117056838904247,0.022376712312843536,0,9920,1
5,6,0.03946178775379725,0.05550362258012396,0,9948,1
2,5,0.03165174167849999,0.012155482778608905,0,9947,1
3,4,0.037511514111963976,0.017462320363016134,0,9919,1
5,7,0.0142591133797152,0.046448807794610074,0,9977,1
6,7,0.03280752389214678,0.012000632346206231,0,10053,1
3,8,0.04755531984074379,0.05350945429317919,0,10087,1
6,8,0.03179868638163469,0.04380570310547887,0,9943,1
7,9,0.05005776778445429,0.047108728643422616,0,9937,1
6,9,0.014641719217720629,0.04945075309319012,0,9977,1
9,10,0.023186077369520455,0.04806794551928609,0,10090,1
9,11,0.02385985490565809,0.03717666497243461,0,9900,1
8,11,0.04179573533245636,0.03109354588140291,0,10098,1
8,12,0.029368141005167922,0.04032380795967395,0,9955,1
10,13,0.023881971662392733,0.05251085748202661,0,10090,1
12,13,0.024666566447455452,0.047781494154075815,0,9903,1
11,14,0.021996183196351153,0.03699964754774022,0,10036,1
12,14,0.022344680697572117,0.05071582735276642,0,10040,1
13,15,0.011979914544672031,0.01317647088810017,0,10070,1
14,16,0.03328501142179627,0.02786815199024066,0,10081,1
15,16,0.02359877163673427,0.053481896787367054,0,9971,1
15,17,0.020075994549485526,0.03947855833469081,0,10016,1
16,16,0.009950895495165889,0.01619810412222986,0,10051,1
15,18,0.0343359836014058,0.028489681846379095,0,10012,1
8,18,0.03305539326408507,0.016284598122691604,0,10046,1
18,19,0.05026723241545277,0.032934550444524015,0,10068,1
19,20,0.026545154891085283,0.03881619049546254,0,9954,1
18,20,0.030043392124427713,0.0396705426912314,0,10096,1
