BUS,PD,QD,Vmax,Vmin,basekV,zone
1,0.1431900352552626,22.705087409237695,1.0641495691783422,0.9488973449412939,1,1
2,28.292938898078184,27.66099371610135,1.0768931395453207,0.9295093173650963,1,1
3,7.557515883942756,12.068152975124496,1.0507313472599362,0.9489199350153453,1,1
4,94.86546659478064,25.23310499650128,1.0696348361735128,0.9242481662855625,1,1
5,5.7154861592657555,17.29215564743594,1.0554854109353333,0.9432667296726132,1,1
6,34.339593343576006,19.808191697101652,1.055390720958592,0.9482551869376187,1,1
7,46.48018897219653,14.782466131281627,1.0534018868755706,0.9437755792862556,1,1
8,51.836172529285264,4.97317586732119,1.061751467140807,0.9140441414786352,1,1
9,33.08616140865262,3.633750457432528,1.0566849925667487,0.9207012035500537,1,1
10,35.72605797407088,1.2007851951131765,1.0654552289230133,0.9090028678517865,1,1
11,86.37620321501552,6.147829947452943,1.0849054039952053,0.9181106777809029,1,1
12,63.154849716939964,24.42898213823405,1.0600932049500489,0.9271953222281155,1,1
13,41.753800193632024,21.576033144214286,1.0709139968708996,0.9438498310019955,1,1
14,81.86540730173525,7.315522293801767,1.0593542892224848,0.938550224684619,1,1
15,82.55886269945955,18.47950889152486,1.058671153510416,0.9101737994412397,1,1
16,84.37496800764183,16.566752590093554,1.0531422064383418,0.940737242484248,1,1
17,54.956167605609764,1.1337018873583156,1.0582180320487797,0.9208472725195715,1,1
18,54.226077459876464,4.90026379550764,1.0527408356902415,0.9457016681046588,1,1
19,66.95928386433698,5.976203590458771,1.0773092596973612,0.9412521856288086,1,1
20,17.133537089535473,11.156246194758635,1.0608229602274006,0.9346064478433338,1,1
