BUS,P_MIN,P_MAX,Q_MIN,Q_MAX,P_COSTE0,P_COSTE1,P_COSTE2
1,-20,149,-50,91,48,32,0
2,-20,151,-50,90,39,20,5
3,-20,151,-50,91,55,66,5
4,-20,151,-50,91,50,53,1
5,-20,151,-50,90,36,72,3
6,-20,150,-50,90,35,86,0
7,-20,151,-50,90,14,73,1
8,-20,151,-50,90,43,25,2
9,-20,151,-50,90,6,72,1
10,-20,151,-50,90,35,26,2
11,-20,151,-50,90,0,6,3
12,-20,150,-50,90,38,13,4
13,-20,151,-50,90,20,46,2
14,-20,149,-50,90,50,68,4
15,-20,151,-50,90,48,50,3
16,-20,151,-50,91,42,83,1
17,-20,151,-50,90,30,12,3
18,-20,151,-50,90,53,53,2
19,-20,150,-50,90,26,63,0
20,-20,151,-50,91,26,87,5
