BUS,P_MIN,P_MAX,Q_MIN,Q_MAX,P_COSTE0,P_COSTE1,P_COSTE2
1,-20,151,-50,90,26,90,3
2,-20,151,-50,90,37,40,4
3,-20,151,-50,90,27,23,3
4,-20,150,-50,90,36,34,2
5,-20,151,-50,91,53,60,3
6,-20,151,-50,90,28,35,1
7,-20,150,-50,91,37,90,3
8,-20,150,-50,91,51,62,3
9,-20,150,-50,91,5,53,0
10,-20,150,-50,90,33,55,1
11,-20,151,-50,90,41,64,2
12,-20,149,-50,90,7,83,3
13,-20,151,-50,90,55,17,3
14,-20,149,-50,90,34,43,1
15,-20,150,-50,90,17,67,4
16,-20,150,-50,90,13,33,2
17,-20,151,-50,91,23,26,2
18,-20,151,-50,91,10,75,3
19,-20,151,-50,90,48,19,3
20,-20,149,-50,90,17,85,2
