F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.04142279958970598,0.011896728226510788,0,10093,1
1,3,0.0418892109923878,0.04217328900057488,0,10056,1
2,4,0.04183234333568301,0.02762358860820363,0,10077,1
3,5,0.011330393724592465,0.013650101196685274,0,9986,1
4,6,0.017726068981664796,0.03294634111102338,0,10022,1
5,6,0.04933827783786263,0.0528012609212073,0,10051,1
2,5,0.04773550365490043,0.02225451222256698,0,9915,1
3,4,0.030074280809816986,0.03412090848697214,0,9999,1
5,7,0.03273510623443481,0.044600373376720244,0,10090,1
6,7,0.02667559190572285,0.01276548027020426,0,9981,1
3,8,0.023044893695058858,0.05355119077972791,0,10033,1
6,8,0.011943084683205655,0.029676062440648236,0,9988,1
7,9,0.03369563716264591,0.05042152580883019,0,9938,1
6,9,0.03717592697517262,0.04961229523210227,0,9958,1
9,10,0.025865753001957863,0.027411253207837473,0,9953,1
9,11,0.02720852746653222,0.03243596190630434,0,9905,1
8,11,0.04978498650268301,0.03480070574667729,0,10037,1
8,12,0.04352957700537542,0.03799375689250404,0,9994,1
10,13,0.019991132652153312,0.05023432424769208,0,9983,1
12,13,0.03571066178085281,0.05047011537938551,0,10090,1
11,14,0.03203185701115827,0.017970032818422167,0,10007,1
12,14,0.017526995741915036,0.04102504179945969,0,10028,1
13,15,0.010931465308661681,0.027391869735095824,0,10042,1
14,16,0.012507469593749702,0.014552178466227902,0,10093,1
15,16,0.043710564125960624,0.01594726812740431,0,10009,1
15,17,0.026287188850105968,0.03517999880312341,0,10028,1
16,16,0.05002448024570177,0.011298622057660255,0,10093,1
15,18,0.022204456786672058,0.011006605713703379,0,9980,1
8,18,0.030641155038336032,0.05330584069113235,0,9992,1
18,19,0.02336528619096885,0.019623852303579267,0,9908,1
19,20,0.03842133972037697,0.043946999992700776,0,10040,1
18,20,0.04157013084828866,0.032088809573702796,0,10011,1
