F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.05047944649419091,0.047958566699839104,0,9996,1
1,3,0.03893613034077109,0.018360588882534813,0,10071,1
2,4,0.0363351894789324,0.04368722989764201,0,9904,1
3,5,0.04121840166916077,0.04790767235685707,0,9944,1
4,6,0.024005987156120567,0.04909833248048558,0,9928,1
5,6,0.022120591352454165,0.016856235750321868,0,9969,1
2,5,0.033972184923489045,0.04702605198278832,0,10078,1
3,4,0.04155988014969294,0.04053765093788302,0,10073,1
5,7,0.013149771500055746,0.032815877186850896,0,9936,1
6,7,0.044323878350226185,0.020125198688368033,0,10048,1
3,8,0.01215734859784642,0.035000035212001214,0,10097,1
6,8,0.01747728397552481,0.045606698711200655,0,10003,1
7,9,0.019001023680693577,0.03497835298896761,0,10034,1
6,9,0.031246883785794786,0.02279044789243943,0,10089,1
9,10,0.04659365983434848,0.03197227791078328,0,10066,1
