BUS,PD,QD,Vmax,Vmin,basekV,zone
1,0.5020285807720444,20.882520618649068,1.0520018722581912,0.9460457465644052,1,1
2,91.02297404186149,7.677108911993541,1.0848907654620157,0.9413800660354836,1,1
3,85.7754899708475,26.475209920478907,1.0869691654091673,0.9490837343658326,1,1
4,52.61927911667065,12.485684883535964,1.0862216932600548,0.9417066200228892,1,1
5,66.6276114083825,25.181896869040447,1.0542132947355904,0.9323104405281329,1,1
6,8.17025808500777,16.74331340168014,1.0551494465644782,0.9377316575135858,1,1
7,79.52104390088637,8.891378226297537,1.0596762322734432,0.9113036459443,1,1
8,53.52868836869149,27.153845323628545,1.0636835108563842,0.9338906125008863,1,1
9,37.681678127346544,0.9662463673171977,1.067463429938501,0.9331689616148193,1,1
10,85.38737718371449,12.86254569387542,1.0747244084915422,0.9190547015718725,1,1
