BUS,P_MIN,P_MAX,Q_MIN,Q_MAX,P_COSTE0,P_COSTE1,P_COSTE2
1,-20,151,-50,90,3,66,1
2,-20,151,-50,90,46,68,1
3,-20,150,-50,91,36,16,0
4,-20,151,-50,90,2,63,3
5,-20,151,-50,90,38,22,4
6,-20,151,-50,90,31,19,2
7,-20,149,-50,90,2,44,1
8,-20,151,-50,90,42,38,0
9,-20,150,-50,90,43,59,4
10,-20,151,-50,90,15,42,4
11,-20,151,-50,90,28,6,3
12,-20,151,-50,90,54,83,0
13,-20,151,-50,91,41,59,2
14,-20,151,-50,91,3,50,3
15,-20,150,-50,90,26,63,2
16,-20,151,-50,90,44,56,4
17,-20,150,-50,91,47,61,4
18,-20,151,-50,91,24,22,1
19,-20,151,-50,90,11,45,4
20,-20,150,-50,90,18,64,1
