BUS,PD,QD,Vmax,Vmin,basekV,zone
1,78.00722000480562,26.827575780225043,1.0794588046930893,0.9160368375459707,1,1
2,20.270052616055604,18.024150770128934,1.0670887725835525,0.9180553333480028,1,1
3,21.448320845868505,20.13030351982814,1.0759897650574952,0.9401077776439067,1,1
4,50.712322433079756,25.626950074826986,1.0802115927602087,0.9352446709420037,1,1
5,91.41274190274287,16.272423570210734,1.0526062694039704,0.921295245872143,1,1
6,90.57075982566182,1.0886659371424638,1.0568768689667385,0.940196315657634,1,1
7,85.19539082602243,15.972699969922422,1.0581206189646672,0.9238230787940527,1,1
8,78.69023381471543,8.796724708965746,1.0851469049837696,0.9413440178785699,1,1
9,59.23591023406765,16.17998563219194,1.0715531809520695,0.9205427070779837,1,1
10,46.82786541389217,7.254255124893303,1.0622628694430065,0.9464865779521411,1,1
