F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.022557385911851368,0.030737286647246315,0,10006,1
1,3,0.014062305521921033,0.01189388326517983,0,9973,1
2,4,0.03678449252374925,0.04708922553770299,0,10095,1
3,5,0.04698494475813102,0.042583946171720836,0,10059,1
4,6,0.044680329157948,0.03091337267223239,0,9975,1
5,6,0.039426671749404875,0.04943851890144398,0,10020,1
2,5,0.01307283775467554,0.05039031317858193,0,10058,1
3,4,0.03728710168413224,0.01299500078861628,0,9916,1
5,7,0.009990278684780918,0.03825998190401751,0,10028,1
6,7,0.05023431094616105,0.010842703688373773,0,9905,1
3,8,0.018070976147336642,0.021793358390792786,0,9982,1
6,8,0.0504613034898264,0.034458008669888004,0,10045,1
7,9,0.03661910664706159,0.049666996299761915,0,9950,1
6,9,0.03743149887693935,0.019073268057923677,0,10082,1
9,10,0.03600109048396083,0.03753084446355662,0,10072,1
