BUS,PD,QD,Vmax,Vmin,basekV,zone
1,32.07723028367665,4.637907624836157,1.0569185665091843,0.9386137456448138,1,1
2,83.28693996764962,16.03378989582203,1.0617282563417823,0.9452316580771009,1,1
3,68.82136445930269,18.826199526403308,1.0693759157246323,0.9228248181845957,1,1
4,34.29907718594823,27.871146226725706,1.0867258237095379,0.9368230331034884,1,1
5,78.70375908103877,10.079449806982693,1.0865315541457183,0.928749952696049,1,1
6,18.331906188012926,13.694983893610607,1.059622900453954,0.9471865487769747,1,1
7,67.37868218145182,22.327854366166722,1.0819486738176225,0.931451389118104,1,1
8,79.1183512824241,20.3115684067889,1.0719606511212652,0.9307086318230297,1,1
9,10.13080760493259,17.286243793785946,1.0640084154261722,0.9427491851122537,1,1
10,15.368802474122624,5.888213408831756,1.0795965884480405,0.9091115442588241,1,1
11,83.2155906728008,9.385846017386923,1.0643408813555644,0.9391156411840068,1,1
12,64.61845597394871,6.2635136882751965,1.0566658255353074,0.9446897299727158,1,1
13,49.43193983715,16.897373062239403,1.0510329467147836,0.9325048751802113,1,1
14,85.2688294105823,8.089214905632499,1.0549913570145544,0.9271864489859243,1,1
15,10.243201840954423,16.362099694450936,1.0755944917904934,0.9127380021565191,1,1
16,33.234153657457156,27.719369826394022,1.0773206088253848,0.9492601263509901,1,1
17,39.933023279167564,25.206431399369706,1.0625708493288932,0.9193943008430545,1,1
18,39.0296602952678,14.88275159043373,1.0546728833625414,0.9284475710972269,1,1
19,66.99590012355681,23.22750489893817,1.0742057764180994,0.9364038086860066,1,1
20,16.33965019266475,13.90716859100922,1.055929765523772,0.9308347339142042,1,1
