F_BUS,T_BUS,R,X,BSh,L_SMAX,status
1,2,0.02381124390973508,0.04292795787796235,0,10046,1
1,3,0.044002804217327766,0.021601652264438182,0,10062,1
2,4,0.016070529432025474,0.01063734191916429,0,9941,1
3,5,0.022348045618068815,0.04838343881445218,0,10096,1
4,6,0.040898519098402884,0.026255747164586826,0,10047,1
5,6,0.03261339915690494,0.03777290046082536,0,9940,1
2,5,0.03320984225617419,0.015677687166419582,0,10031,1
3,4,0.035687846351038714,0.01340162706107871,0,10037,1
5,7,0.03425133420897759,0.015273205865952197,0,10023,1
6,7,0.013764896677314545,0.03791599134027455,0,9991,1
3,8,0.05044331095897794,0.02002026741048589,0,10045,1
6,8,0.018249651088475045,0.02311502727231838,0,10015,1
7,9,0.010930929731280462,0.0187980651203589,0,9984,1
6,9,0.04925426655698884,0.022712695414965338,0,10031,1
9,10,0.04887906369630909,0.028708478042082555,0,9964,1
9,11,0.029021680895112693,0.026036466200783072,0,9906,1
8,11,0.050111101672645195,0.020116425653714833,0,10002,1
8,12,0.012947355806174964,0.04787357440508824,0,9988,1
10,13,0.03187323515675145,0.04321960037294697,0,9932,1
12,13,0.014024584346167948,0.011723199477173712,0,9919,1
11,14,0.04759672381430851,0.040644297732499376,0,9968,1
12,14,0.01671720423604687,0.03572900221012631,0,10042,1
13,15,0.03198307416969365,0.013060119952306229,0,10054,1
14,16,0.025663022963367102,0.052989586215319955,0,10024,1
15,16,0.01500068628007483,0.05153348959231766,0,9970,1
15,17,0.039300765849877246,0.026952141400209406,0,9996,1
16,16,0.04571500670449411,0.04340791731181037,0,9981,1
15,18,0.04269649613258031,0.029691401819556464,0,10043,1
8,18,0.03695291178440976,0.02971266361038788,0,10036,1
18,19,0.03878711837887252,0.01236843178590791,0,9943,1
19,20,0.015776883557484193,0.044435972037716785,0,9976,1
18,20,0.0369357399486891,0.028768549802395453,0,10049,1
