BUS,P_MIN,P_MAX,Q_MIN,Q_MAX,P_COSTE0,P_COSTE1,P_COSTE2
1,-20,151,-50,90,48,88,4
2,-20,151,-50,90,19,80,5
3,-20,149,-50,91,39,22,3
4,-20,151,-50,90,39,71,2
5,-20,150,-50,90,25,20,4
6,-20,149,-50,91,16,75,5
7,-20,151,-50,91,39,19,4
8,-20,151,-50,91,24,87,3
9,-20,150,-50,90,18,34,1
10,-20,150,-50,90,51,74,3
11,-20,149,-50,90,36,64,5
12,-20,149,-50,90,48,28,3
13,-20,150,-50,90,12,9,1
14,-20,149,-50,90,43,73,3
15,-20,149,-50,91,47,54,3
16,-20,150,-50,90,12,25,0
17,-20,150,-50,90,16,22,1
18,-20,151,-50,91,15,20,4
19,-20,149,-50,90,15,79,1
20,-20,150,-50,90,34,80,2
